id,purchaseValue
0,33729380.0
1,-22993.666
2,-25834.512
3,3018327.0
4,704261.0
5,84532160.0
6,319502560.0
7,8779337.0
8,4072.6753
9,18694740.0
10,24119000.0
11,-3917.638
12,14190.746
13,147381.39
14,21216386.0
15,-24010.738
16,1589187.0
17,7321.682
18,334609.62
19,1638.5513
20,-1146.5021
21,3639.4338
22,37222.215
23,316549.72
24,-57238.676
25,152978030.0
26,-1081525.4
27,-55303.297
28,163646430.0
29,46199652.0
30,1724306.0
31,113312.13
32,657.1758
33,-4824.3896
34,-22001.762
35,83650.32
36,6617027.5
37,3110.0454
38,-36461.26
39,1323.2109
40,298441.78
41,1804.9713
42,-80549.92
43,4867.383
44,4807.078
45,64258508.0
46,7128.346
47,16560851.0
48,-4858.292
49,2452.6528
50,10051.053
51,-48745.92
52,3303.4521
53,1343.4034
54,115138.3
55,152133280.0
56,23096134.0
57,57419390.0
58,9507.908
59,-103141.53
60,2237589.0
61,-92946.83
62,78727.805
63,161416460.0
64,-14363.963
65,200735.44
66,18275424.0
67,-44735.684
68,-30592.719
69,-60270.953
70,220490.67
71,1746.5762
72,-142906.52
73,80058480.0
74,-8697.146
75,7541545.5
76,-21803.508
77,-106550.836
78,7513742.0
79,3481.0054
80,3394.232
81,-35083.918
82,156415600.0
83,-8303.899
84,3100.8462
85,3325.062
86,12201435.0
87,17279232.0
88,-92506.51
89,7385.7583
90,-37172.28
91,37875300.0
92,271406.75
93,-2677.8857
94,3065.4675
95,841481.7
96,39946.38
97,521.0608
98,1844.5193
99,-24241.324
100,1666.334
101,1224080.0
102,36316684.0
103,2352.7998
104,2712.6738
105,3616.9016
106,1992484.6
107,-34452.562
108,-25438.424
109,16359.681
110,279333760.0
111,-7798.545
112,13299.081
113,292.4901
114,-103429.73
115,-46769.08
116,3273.3406
117,1207.8102
118,1496.7284
119,2573.7683
120,521.19104
121,19522820.0
122,2219.6836
123,-20.139996
124,-13679.605
125,41226412.0
126,2271722.2
127,18863652.0
128,3644.8135
129,6994086.0
130,244813630.0
131,35252540.0
132,-983.6371
133,-68141.69
134,8123.548
135,-37070.67
136,-15075.289
137,225.75705
138,-3457.2085
139,22693978.0
140,-14743.415
141,-25162.27
142,-44.158867
143,4490691.5
144,-4561.305
145,5861457.5
146,18329966.0
147,-4789.865
148,-44402.98
149,30719194.0
150,480759.84
151,3120.1475
152,1065.0454
153,-18337.967
154,-86064.13
155,151426.92
156,-10446.521
157,-41219.94
158,-9974.854
159,-2694.3606
160,-119820.09
161,161209.69
162,27292670.0
163,-102634.25
164,29027938.0
165,-47175.0
166,2611.3403
167,45683870.0
168,11059302.0
169,20903.818
170,54161584.0
171,118875840.0
172,357913.34
173,8854.697
174,985848100.0
175,117388290.0
176,57920200.0
177,27307844.0
178,35075.285
179,-23222.918
180,4265669.5
181,-6673.731
182,774232300.0
183,754008.9
184,1772.4009
185,71632.68
186,-160.8008
187,13464326.0
188,-24624.1
189,103575400.0
190,66813844.0
191,19566566.0
192,1433786.1
193,7158833.5
194,-92776.03
195,-8414.1455
196,6932705.0
197,3383.4521
198,11598842.0
199,3201.2854
200,2777929.8
201,22340050.0
202,-663.0799
203,3294.1929
204,4675385.0
205,1867.2164
206,-40090.777
207,-764.76953
208,3556.6338
209,-9499.288
210,-1724.7117
211,-10667.352
212,-81619.04
213,513.6192
214,-20345.533
215,186294.56
216,-15858.93
217,5388.346
218,27812494.0
219,-208273.03
220,-72376.77
221,1894.7314
222,-73520.98
223,4397407.5
224,2003.0962
225,1894.7231
226,-6987.785
227,-104489.09
228,-75913.92
229,1933.324
230,7165015.0
231,1866.4087
232,-61538.97
233,405514.6
234,215420.02
235,44009564.0
236,2637.1436
237,3293166.0
238,19585492.0
239,8000483.5
240,2970025.5
241,2664.4033
242,-1738.1648
243,24609336.0
244,1132.379
245,38356850.0
246,-9466.386
247,-276660.5
248,55400.535
249,-237565.22
250,265894.8
251,8662428.0
252,-247246.66
253,-65060.043
254,3568651.5
255,79284840.0
256,1625156.1
257,6289.172
258,-27441.887
259,39374504.0
260,4434148.0
261,2939.1372
262,-6647.9663
263,-51762.516
264,16715324.0
265,-14994.264
266,34476390.0
267,5840.3677
268,2947.89
269,1038142.6
270,2411.199
271,40339.68
272,2883.7832
273,-28913.291
274,5440.8706
275,66549988.0
276,2248954.0
277,2464775.0
278,-61642.742
279,-105961.68
280,540990400.0
281,-40118.26
282,3710468.5
283,-25560.691
284,26047.459
285,9857535.0
286,-5378.5537
287,-25561.91
288,2271.9233
289,116428.18
290,121541770.0
291,184332.17
292,-26127.662
293,-4650.338
294,3370.9934
295,10224.564
296,15989024.0
297,-34991.207
298,318679550.0
299,1494114.6
300,2464515.5
301,26449.828
302,-7017.3687
303,-75544.95
304,64771296.0
305,55904050.0
